Genesis 1:4	And God saw the light, that it was good: and God divided the light from the darkness.
Genesis 29:8	And they said, We cannot, until all the flocks be gathered together, and till they roll the stone from the well's mouth; then we water the sheep.
Genesis 29:18	And Jacob loved Rachel; and said, I will serve thee seven years for Rachel thy younger daughter.
Genesis 29:28	And Jacob did so, and fulfilled her week: and he gave him Rachel his daughter to wife also.
Genesis 30:3	And she said, Behold my maid Bilhah, go in unto her; and she shall bear upon my knees, that I may also have children by her.
Genesis 30:13	And Leah said, Happy am I, for the daughters will call me blessed: and she called his name Asher.
Genesis 30:23	And she conceived, and bare a son; and said, God hath taken away my reproach:
Genesis 30:33	So shall my righteousness answer for me in time to come, when it shall come for my hire before thy face: every one that is not speckled and spotted among the goats, and brown among the sheep, that shall be counted stolen with me.
Genesis 30:43	And the man increased exceedingly, and had much cattle, and maidservants, and menservants, and camels, and asses.
Genesis 31:10	And it came to pass at the time that the cattle conceived, that I lifted up mine eyes, and saw in a dream, and, behold, the rams which leaped upon the cattle were ring-streaked, speckled, and grizzled.
Genesis 31:20	And Jacob stole away unawares to Laban the Syrian, in that he told him not that he fled.
Genesis 31:30	And now, though thou wouldest needs be gone, because thou sore longedst after thy father's house, yet wherefore hast thou stolen my gods?
Genesis 31:40	Thus I was; in the day the drought consumed me, and the frost by night; and my sleep departed from mine eyes.
Genesis 31:50	If thou shalt afflict my daughters, or if thou shalt take other wives beside my daughters, no man is with us; see, God is witness betwixt me and thee.
Genesis 32:5	And I have oxen, and asses, flocks, and menservants, and womenservants: and I have sent to tell my lord, that I may find grace in thy sight.
Genesis 32:15	Thirty milch camels with their colts, forty kine, and ten bulls, twenty she asses, and ten foals.
Genesis 32:25	And when he saw that he prevailed not against him, he touched the hollow of his thigh; and the hollow of Jacob's thigh was out of joint, as he wrestled with him.
Genesis 33:3	And he passed over before them, and bowed himself to the ground seven times, until he came near to his brother.
Genesis 33:13	And he said unto him, My lord knoweth that the children are tender, and the flocks and herds with young are with me: and if men should overdrive them one day, all the flock will die.
Genesis 34:3	And his soul clave unto Dinah the daughter of Jacob, and he loved the damsel, and spake kindly unto the damsel.
Genesis 34:13	And the sons of Jacob answered Shechem and Hamor his father deceitfully, and said, because he had defiled Dinah their sister:
Genesis 34:23	Shall not their cattle and their substance and every beast of theirs be ours? only let us consent unto them, and they will dwell with us.
Genesis 35:2	Then Jacob said unto his household, and to all that were with him, Put away the strange gods that are among you, and be clean, and change your garments:
Genesis 35:12	And the land which I gave Abraham and Isaac, to thee I will give it, and to thy seed after thee will I give the land.
Genesis 35:22	And it came to pass, when Israel dwelt in that land, that Reuben went and lay with Bilhah his father's concubine: and Israel heard it. Now the sons of Jacob were twelve:
Genesis 36:3	And Bashemath Ishmael's daughter, sister of Nebajoth.
Genesis 36:13	And these are the sons of Reuel; Nahath, and Zerah, Shammah, and Mizzah: these were the sons of Bashemath Esau's wife.
Genesis 36:23	And the children of Shobal were these; Alvan, and Manahath, and Ebal, Shepho, and Onam.
Genesis 36:33	And Bela died, and Jobab the son of Zerah of Bozrah reigned in his stead.
Genesis 36:43	Duke Magdiel, duke Iram: these be the dukes of Edom, according to their habitations in the land of their possession: he is Esau the father of the Edomites.
Genesis 37:10	And he told it to his father, and to his brethren: and his father rebuked him, and said unto him, What is this dream that thou hast dreamed? Shall I and thy mother and thy brethren indeed come to bow down ourselves to thee to the earth?
Genesis 37:20	Come now therefore, and let us slay him, and cast him into some pit, and we will say, Some evil beast hath devoured him: and we shall see what will become of his dreams.
Genesis 37:30	And he returned unto his brethren, and said, The child is not; and I, whither shall I go?
Genesis 38:4	And she conceived again, and bare a son; and she called his name Onan.
Genesis 38:14	And she put her widow's garments off from her, and covered her with a vail, and wrapped herself, and sat in an open place, which is by the way to Timnath; for she saw that Shelah was grown, and she was not given unto him to wife.
Genesis 38:24	And it came to pass about three months after, that it was told Judah, saying, Tamar thy daughter in law hath played the harlot; and also, behold, she is with child by whoredom. And Judah said, Bring her forth, and let her be burnt.
Genesis 39:4	And Joseph found grace in his sight, and he served him: and he made him overseer over his house, and all that he had he put into his hand.
Genesis 39:14	That she called unto the men of her house, and spake unto them, saying, See, he hath brought in an Hebrew unto us to mock us; he came in unto me to lie with me, and I cried with a loud voice:
Genesis 40:1	And it came to pass after these things, that the butler of the king of Egypt and his baker had offended their lord the king of Egypt.
Genesis 40:11	And Pharaoh's cup was in my hand: and I took the grapes, and pressed them into Pharaoh's cup, and I gave the cup into Pharaoh's hand.
Genesis 40:21	And he restored the chief butler unto his butlership again; and he gave the cup into Pharaoh's hand:
Genesis 41:8	And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but there was none that could interpret them unto Pharaoh.
Genesis 41:18	And, behold, there came up out of the river seven kine, fatfleshed and well favored; and they fed in a meadow:
Genesis 41:28	This is the thing which I have spoken unto Pharaoh: What God is about to do he showeth unto Pharaoh.
Genesis 41:38	And Pharaoh said unto his servants, Can we find such a one as this is, a man in whom the Spirit of God is?
Genesis 41:48	And he gathered up all the food of the seven years, which were in the land of Egypt, and laid up the food in the cities: the food of the field, which was round about every city, laid he up in the same.
Genesis 42:1	Now when Jacob saw that there was corn in Egypt, Jacob said unto his sons, Why do ye look one upon another?
Genesis 42:11	We are all one man's sons; we are true men, thy servants are no spies.
Genesis 42:21	And they said one to another, We are verily guilty concerning our brother, in that we saw the anguish of his soul, when he besought us, and we would not hear; therefore is this distress come upon us.
Genesis 42:31	And we said unto him, We are true men; we are no spies:
Genesis 43:3	And Judah spake unto him, saying, The man did solemnly protest unto us, saying, Ye shall not see my face, except your brother be with you.
Genesis 43:13	Take also your brother, and arise, go again unto the man:
Genesis 43:23	And he said, Peace be to you, fear not: your God, and the God of your father, hath given you treasure in your sacks: I had your money. And he brought Simeon out unto them.
Genesis 43:33	And they sat before him, the firstborn according to his birthright, and the youngest according to his youth: and the men marveled one at another.
Genesis 44:9	With whomsoever of thy servants it be found, both let him die, and we also will be my lord's bondmen.
Genesis 44:19	My lord asked his servants, saying, Have ye a father, or a brother?
Genesis 44:29	And if ye take this also from me, and mischief befall him, ye shall bring down my gray hairs with sorrow to the grave.
Genesis 45:5	Now therefore be not grieved, nor angry with yourselves, that ye sold me hither: for God did send me before you to preserve life.
Genesis 45:15	Moreover he kissed all his brethren, and wept upon them: and after that his brethren talked with him.
Genesis 45:25	And they went up out of Egypt, and came into the land of Canaan unto Jacob their father,
Genesis 46:7	His sons, and his sons' sons with him, his daughters, and his sons' daughters, and all his seed brought he with him into Egypt.
Genesis 46:17	And the sons of Asher; Jimnah, and Ishuah, and Isui, and Beriah, and Serah their sister: and the sons of Beriah; Heber, and Malchiel.
Genesis 46:27	And the sons of Joseph, which were born him in Egypt, were two souls: all the souls of the house of Jacob, which came into Egypt, were threescore and ten.
Genesis 47:3	And Pharaoh said unto his brethren, What is your occupation? And they said unto Pharaoh, Thy servants are shepherds, both we, and also our fathers.
Genesis 47:13	And there was no bread in all the land; for the famine was very sore, so that the land of Egypt and all the land of Canaan fainted by reason of the famine.
Genesis 47:23	Then Joseph said unto the people, Behold, I have bought you this day and your land for Pharaoh: lo, here is seed for you, and ye shall sow the land.
Genesis 48:2	And one told Jacob, and said, Behold, thy son Joseph cometh unto thee: and Israel strengthened himself, and sat upon the bed.
Genesis 48:12	And Joseph brought them out from between his knees, and he bowed himself with his face to the earth.
Genesis 48:22	Moreover I have given to thee one portion above thy brethren, which I took out of the hand of the Amorite with my sword and with my bow.
Genesis 49:10	The sceptre shall not depart from Judah, nor a lawgiver from between his feet, until Shiloh come; and unto him shall the gathering of the people be.
Genesis 49:20	Out of Asher his bread shall be fat, and he shall yield royal dainties.
Genesis 49:30	In the cave that is in the field of Machpelah, which is before Mamre, in the land of Canaan, which Abraham bought with the field of Ephron the Hittite for a possession of a buryingplace.
Genesis 50:7	And Joseph went up to bury his father: and with him went up all the servants of Pharaoh, the elders of his house, and all the elders of the land of Egypt,
Genesis 50:17	So shall ye say unto Joseph, Forgive, I pray thee now, the trespass of thy brethren, and their sin; for they did unto thee evil: and now, we pray thee, forgive the trespass of the servants of the God of thy father. And Joseph wept when they spake unto him.
Exodus 1:1	Now these are the names of the children of Israel, which came into Egypt; every man and his household came with Jacob.
Exodus 1:11	Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Raamses.
Exodus 1:21	And it came to pass, because the midwives feared God, that he made them houses.
Exodus 2:9	And Pharaoh's daughter said unto her, Take this child away, and nurse it for me, and I will give thee thy wages. And the women took the child, and nursed it.
Exodus 2:19	And they said, An Egyptian delivered us out of the hand of the shepherds, and also drew water enough for us, and watered the flock.
Exodus 3:4	And when the LORD saw that he turned aside to see, God called unto him out of the midst of the bush, and said, Moses, Moses. And he said, Here am I.
Exodus 3:14	And God said unto Moses, I AM THAT I AM: and he said, Thus shalt thou say unto the children of Israel, I AM hath sent me unto you.
Exodus 4:2	And the LORD said unto him, What is that in thine hand? And he said, A rod.
Exodus 4:12	Now therefore go, and I will be with thy mouth, and teach thee what thou shalt say.
Exodus 4:22	And thou shalt say unto Pharaoh, Thus saith the LORD, Israel is my son, even my firstborn:
Exodus 5:1	And afterward Moses and Aaron went in, and told Pharaoh, Thus saith the LORD God of Israel, Let my people go, that they may hold a feast unto me in the wilderness.
Exodus 5:11	Go ye, get you straw where ye can find it: yet not ought of your work shall be diminished.
Exodus 5:21	And they said unto them, The LORD look upon you, and judge; because ye have made our savor to be abhorred in the eyes of Pharaoh, and in the eyes of his servants, to put a sword in their hand to slay us.
Exodus 6:8	And I will bring you in unto the land, concerning the which I did swear to give it to Abraham, to Isaac, and to Jacob; and I will give it you for an heritage: I am the LORD.
Exodus 6:18	And the sons of Kohath; Amram, and Izhar, and Hebron, and Uzziel: and the years of the life of Kohath were an hundred thirty and three years.
Exodus 6:28	And it came to pass on the day when the LORD spake unto Moses in the land of Egypt,
Exodus 7:8	And the LORD spake unto Moses and unto Aaron, saying,
Exodus 7:18	And the fish that is in the river shall die, and the river shall stink; and the Egyptians shall loathe to drink of the water of the river.
Exodus 8:3	And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the house of thy servants, and upon thy people, and into thine ovens, and into thy kneadingtroughs:
Exodus 8:13	And the LORD did according to the word of Moses; and the frogs died out of the houses, out of the villages, and out of the fields.
Exodus 8:23	And I will put a division between my people and thy people: to morrow shall this sign be.
Exodus 9:1	Then the LORD said unto Moses, Go in unto Pharaoh, and tell him, Thus saith the LORD God of the Hebrews, Let my people go, that they may serve me.
Exodus 9:11	And the magicians could not stand before Moses because of the boils; for the boil was upon the magicians, and upon all the Egyptians.
Exodus 9:21	And he that regarded not the word of the LORD left his servants and his cattle in the field.
Exodus 9:31	And the flax and the barley was smitten: for the barley was in the ear, and the flax was bolled.
Exodus 10:6	And they shall fill thy houses, and the houses of all thy servants, and the houses of all the Egyptians; which neither thy fathers, nor thy fathers' fathers have seen, since the day that they were upon the earth unto this day. And he turned himself, and went out from Pharaoh.
Exodus 10:16	Then Pharaoh called for Moses and Aaron in haste; and he said, I have sinned against the LORD your God, and against you.
Exodus 10:26	Our cattle also shall go with us; there shall not an hoof be left behind; for thereof must we take to serve the LORD our God; and we know not with what we must serve the LORD, until we come thither.
Exodus 11:7	But against any of the children of Israel shall not a dog move his tongue, against man or beast: that ye may know how that the LORD doth put a difference between the Egyptians and Israel.
Exodus 12:7	And they shall take of the blood, and strike it on the two side posts and on the upper door post of the houses, wherein they shall eat it.
Exodus 12:17	And ye shall observe the feast of unleavened bread; for in this selfsame day have I brought your armies out of the land of Egypt: therefore shall ye observe this day in your generations by an ordinance for ever.
Exodus 12:27	That ye shall say, It is the sacrifice of the LORD's passover, who passed over the houses of the children of Israel in Egypt, when he smote the Egyptians, and delivered our houses. And the people bowed the head and worshipped.
Exodus 12:37	And the children of Israel journeyed from Rameses to Succoth, about six hundred thousand on foot that were men, beside children.
Exodus 12:47	All the congregation of Israel shall keep it.
Exodus 13:6	Seven days thou shalt eat unleavened bread, and in the seventh day shall be a feast to the LORD.
Exodus 13:16	And it shall be for a token upon thine hand, and for frontlets between thine eyes: for by strength of hand the LORD brought us forth out of Egypt.
Exodus 14:4	And I will harden Pharaoh's heart, that he shall follow after them; and I will be honored upon Pharaoh, and upon all his host; that the Egyptians may know that I am the LORD. And they did so.
Exodus 14:14	The LORD shall fight for you, and ye shall hold your peace.
Exodus 14:24	And it came to pass, that in the morning watch the LORD looked unto the host of the Egyptians through the pillar of fire and of the cloud, and troubled the host of the Egyptians,
Exodus 15:3	The LORD is a man of war: the LORD is his name.
Exodus 15:13	Thou in thy mercy hast led forth the people which thou hast redeemed: thou hast guided them in thy strength unto thy holy habitation.
Exodus 15:23	And when they came to Marah, they could not drink of the waters of Marah, for they were bitter: therefore the name of it was called Marah.
Exodus 16:6	And Moses and Aaron said unto all the children of Israel, At even, then ye shall know that the LORD hath brought you out from the land of Egypt:
Exodus 16:16	This is the thing which the LORD hath commanded, Gather of it every man according to his eating, an omer for every man, according to the number of your persons; take ye every man for them which are in his tents.
Exodus 16:26	Six days ye shall gather it; but on the seventh day, which is the sabbath, in it there shall be none.
Exodus 16:36	Now an omer is the tenth part of an ephah.
Exodus 17:10	So Joshua did as Moses had said to him, and fought with Amalek: and Moses, Aaron, and Hur went up to the top of the hill.
Exodus 18:4	And the name of the other was Eliezer; for the God of my father, said he, was mine help, and delivered me from the sword of Pharaoh:
Exodus 18:14	And when Moses' father in law saw all that he did to the people, he said, What is this thing that thou doest to the people? why sittest thou thyself alone, and all the people stand by thee from morning unto even?
Exodus 18:24	So Moses hearkened to the voice of his father in law, and did all that he had said.
Exodus 19:7	And Moses came and called for the elders of the people, and laid before their faces all these words which the LORD commanded him.
Exodus 19:17	And Moses brought forth the people out of the camp to meet with God; and they stood at the nether part of the mount.
Exodus 20:2	I am the LORD thy God, which have brought thee out of the land of Egypt, out of the house of bondage.
Exodus 20:12	Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
Exodus 20:22	And the LORD said unto Moses, Thus thou shalt say unto the children of Israel, Ye have seen that I have talked with you from heaven.
Exodus 21:6	Then his master shall bring him unto the judges; he shall also bring him to the door, or unto the door post; and his master shall bore his ear through with an awl; and he shall serve him for ever.
Exodus 21:16	And he that stealeth a man, and selleth him, or if he be found in his hand, he shall surely be put to death.
Exodus 21:26	And if a man smite the eye of his servant, or the eye of his maid, that it perish; he shall let him go free for his eye's sake.
Exodus 21:36	Or if it be known that the ox hath used to push in time past, and his owner hath not kept him in; he shall surely pay ox for ox; and the dead shall be his own.
Exodus 22:10	If a man deliver unto his neighbor an ass, or an ox, or a sheep, or any beast, to keep; and it die, or be hurt, or driven away, no man seeing it:
Exodus 22:20	He that sacrificeth unto any god, save unto the LORD only, he shall be utterly destroyed.
Exodus 22:30	Likewise shalt thou do with thine oxen, and with thy sheep: seven days it shall be with his dam; on the eighth day thou shalt give it me.
Exodus 23:9	Also thou shalt not oppress a stranger: for ye know the heart of a stranger, seeing ye were strangers in the land of Egypt.
Exodus 23:19	The first of the firstfruits of thy land thou shalt bring into the house of the LORD thy God. Thou shalt not seethe a kid in his mother's milk.
Exodus 23:29	I will not drive them out from before thee in one year; lest the land become desolate, and the beast of the field multiply against thee.
Exodus 24:6	And Moses took half of the blood, and put it in basins; and half of the blood he sprinkled on the altar.
Exodus 24:16	And the glory of the LORD abode upon mount Sinai, and the cloud covered it six days: and the seventh day he called unto Moses out of the midst of the cloud.
Exodus 25:8	And let them make me a sanctuary; that I may dwell among them.
Exodus 25:18	And thou shalt make two cherubim of gold, of beaten work shalt thou make them, in the two ends of the mercy seat.
Exodus 25:28	And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them.
Exodus 25:38	And the tongs thereof, and the snuffdishes thereof, shall be of pure gold.
Exodus 26:8	The length of one curtain shall be thirty cubits, and the breadth of one curtain four cubits: and the eleven curtains shall be all of one measure.
Exodus 26:18	And thou shalt make the boards for the tabernacle, twenty boards on the south side southward.
Exodus 26:28	And the middle bar in the midst of the boards shall reach from end to end.
Exodus 27:1	And thou shalt make an altar of shittim wood, five cubits long, and five cubits broad; the altar shall be foursquare: and the height thereof shall be three cubits.
Exodus 27:11	And likewise for the north side in length there shall be hangings of an hundred cubits long, and his twenty pillars and their twenty sockets of brass; the hooks of the pillars and their fillets of silver.
Exodus 27:21	In the tabernacle of the congregation without the vail, which is before the testimony, Aaron and his sons shall order it from evening to morning before the LORD: it shall be a statute for ever unto their generations on the behalf of the children of Israel.
Exodus 28:10	Six of their names on one stone, and the other six names of the rest on the other stone, according to their birth.
Exodus 28:20	And the fourth row a beryl, and an onyx, and a jasper: they shall be set in gold in their inclosings.
Exodus 28:30	And thou shalt put in the breastplate of judgment the Urim and the Thummim; and they shall be upon Aaron's heart, when he goeth in before the LORD: and Aaron shall bear the judgment of the children of Israel upon his heart before the LORD continually.
Exodus 28:40	And for Aaron's sons thou shalt make coats, and thou shalt make for them girdles, and bonnets shalt thou make for them, for glory and for beauty.
Exodus 29:7	Then shalt thou take the anointing oil, and pour it upon his head, and anoint him.
Exodus 29:17	And thou shalt cut the ram in pieces, and wash the inwards of him, and his legs, and put them unto his pieces, and unto his head.
Exodus 29:27	And thou shalt sanctify the breast of the wave offering, and the shoulder of the heave offering, which is waved, and which is heaved up, of the ram of the consecration, even of that which is for Aaron, and of that which is for his sons:
Exodus 29:37	Seven days thou shalt make an atonement for the altar, and sanctify it; and it shall be an altar most holy: whatsoever toucheth the altar shall be holy.
Exodus 30:1	And thou shalt make an altar to burn incense upon: of shittim wood shalt thou make it.
Exodus 30:11	And the LORD spake unto Moses, saying,
Exodus 30:21	So they shall wash their hands and their feet, that they die not: and it shall be a statute for ever to them, even to him and to his seed throughout their generations.
Exodus 30:31	And thou shalt speak unto the children of Israel, saying, This shall be an holy anointing oil unto me throughout your generations.
Exodus 31:3	And I have filled him with the spirit of God, in wisdom, and in understanding, and in knowledge, and in all manner of workmanship,
Exodus 31:13	Speak thou also unto the children of Israel, saying, Verily my sabbaths ye shall keep: for it is a sign between me and you throughout your generations; that ye may know that I am the LORD that doth sanctify you.
Exodus 32:5	And when Aaron saw it, he built an altar before it; and Aaron made proclamation, and said, To morrow is a feast to the LORD.
Exodus 32:15	And Moses turned, and went down from the mount, and the two tables of the testimony were in his hand: the tables were written on both their sides; on the one side and on the other were they written.
Exodus 32:25	And when Moses saw that the people were naked; (for Aaron had made them naked unto their shame among their enemies:)
Exodus 32:35	And the LORD plagued the people, because they made the calf, which Aaron made.
Exodus 33:10	And all the people saw the cloudy pillar stand at the tabernacle door: and all the people rose up and worshipped, every man in his tent door.
Exodus 33:20	And he said, Thou canst not see my face: for there shall no man see me, and live.
Exodus 34:7	Keeping mercy for thousands, forgiving iniquity and transgression and sin, and that will by no means clear the guilty; visiting the iniquity of the fathers upon the children, and upon the children's children, unto the third and to the fourth generation.
Exodus 34:17	Thou shalt make thee no molten gods.
Exodus 34:27	And the LORD said unto Moses, Write thou these words: for after the tenor of these words I have made a covenant with thee and with Israel.
Exodus 35:2	Six days shall work be done, but on the seventh day there shall be to you an holy day, a sabbath of rest to the LORD: whosoever doeth work therein shall be put to death.
Exodus 35:12	The ark, and the staves thereof, with the mercy seat, and the vail of the covering,
Exodus 35:22	And they came, both men and women, as many as were willing hearted, and brought bracelets, and earrings, and rings, and tablets, all jewels of gold: and every man that offered, offered an offering of gold unto the LORD.
