Genesis 1:3	And God said, Let there be light: and there was light.
Genesis 36:12	And Timna was concubine to Eliphaz Esau's son; and she bare to Eliphaz Amalek: these were the sons of Adah Esau's wife.
Genesis 36:22	And the children of Lotan were Hori and Hemam; and Lotan's sister was Timna.
Genesis 36:32	And Bela the son of Beor reigned in Edom: and the name of his city was Dinhabah.
Genesis 36:42	Duke Kenaz, duke Teman, duke Mibzar,
Genesis 37:9	And he dreamed yet another dream, and told it his brethren, and said, Behold, I have dreamed a dream more; and, behold, the sun and the moon and the eleven stars made obeisance to me.
Genesis 37:19	And they said one to another, Behold, this dreamer cometh.
Genesis 37:29	And Reuben returned unto the pit; and, behold, Joseph was not in the pit; and he rent his clothes.
Genesis 38:3	And she conceived, and bare a son; and he called his name Er.
Genesis 38:13	And it was told Tamar, saying, Behold thy father in law goeth up to Timnath to shear his sheep.
Genesis 38:23	And Judah said, Let her take it to her, lest we be shamed: behold, I sent this kid, and thou hast not found her.
Genesis 39:3	And his master saw that the LORD was with him, and that the LORD made all that he did to prosper in his hand.
Genesis 39:13	And it came to pass, when she saw that he had left his garment in her hand, and was fled forth,
Genesis 39:23	The keeper of the prison looked not to any thing that was under his hand; because the LORD was with him, and that which he did, the LORD made it to prosper.
Genesis 40:10	And in the vine were three branches: and it was as though it budded, and her blossoms shot forth; and the clusters thereof brought forth ripe grapes:
Genesis 40:20	And it came to pass the third day, which was Pharaoh's birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants.
Genesis 41:7	And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, it was a dream.
Genesis 41:17	And Pharaoh said unto Joseph, In my dream, behold, I stood upon the bank of the river:
Genesis 41:27	And the seven thin and ill favored kine that came up after them are seven years; and the seven empty ears blasted with the east wind shall be seven years of famine.
Genesis 41:37	And the thing was good in the eyes of Pharaoh, and in the eyes of all his servants.
Genesis 41:47	And in the seven plenteous years the earth brought forth by handfuls.
Genesis 41:57	And all countries came into Egypt to Joseph for to buy corn; because that the famine was so sore in all lands.
Genesis 42:10	And they said unto him, Nay, my lord, but to buy food are thy servants come.
Genesis 42:20	But bring your youngest brother unto me; so shall your words be verified, and ye shall not die. And they did so.
Genesis 42:30	The man, who is the lord of the land, spake roughly to us, and took us for spies of the country.
Genesis 43:2	And it came to pass, when they had eaten up the corn which they had brought out of Egypt, their father said unto them, Go again, buy us a little food.
Genesis 43:12	And take double money in your hand; and the money that was brought again in the mouth of your sacks, carry it again in your hand; peradventure it was an oversight:
Genesis 43:22	And other money have we brought down in our hands to buy food: we cannot tell who put our money in our sacks.
Genesis 43:32	And they set on for him by himself, and for them by themselves, and for the Egyptians, which did eat with him, by themselves: because the Egyptians might not eat bread with the Hebrews; for that is an abomination unto the Egyptians.
Genesis 44:8	Behold, the money, which we found in our sacks' mouths, we brought again unto thee out of the land of Canaan: how then should we steal out of thy lord's house silver or gold?
Genesis 44:18	Then Judah came near unto him, and said, Oh my lord, let thy servant, I pray thee, speak a word in my lord's ears, and let not thine anger burn against thy servant: for thou art even as Pharaoh.
Genesis 44:28	And the one went out from me, and I said, Surely he is torn in pieces; and I saw him not since:
Genesis 45:4	And Joseph said unto his brethren, Come near to me, I pray you. And they came near. And he said, I am Joseph your brother, whom ye sold into Egypt.
Genesis 45:14	And he fell upon his brother Benjamin's neck, and wept; and Benjamin wept upon his neck.
Genesis 45:24	So he sent his brethren away, and they departed: and he said unto them, See that ye fall not out by the way.
Genesis 46:6	And they took their cattle, and their goods, which they had gotten in the land of Canaan, and came into Egypt, Jacob, and all his seed with him:
Genesis 46:16	And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli.
Genesis 46:26	All the souls that came with Jacob into Egypt, which came out of his loins, besides Jacob's sons' wives, all the souls were threescore and six;
Genesis 47:2	And he took some of his brethren, even five men, and presented them unto Pharaoh.
Genesis 47:12	And Joseph nourished his father, and his brethren, and all his father's household, with bread, according to their families.
Genesis 47:22	Only the land of the priests bought he not; for the priests had a portion assigned them of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands.
Genesis 48:1	And it came to pass after these things, that one told Joseph, Behold, thy father is sick: and he took with him his two sons, Manasseh and Ephraim.
Genesis 48:11	And Israel said unto Joseph, I had not thought to see thy face: and, lo, God hath showed me also thy seed.
Genesis 48:21	And Israel said unto Joseph, Behold, I die: but God shall be with you, and bring you again unto the land of your fathers.
Genesis 49:9	Judah is a lion's whelp: from the prey, my son, thou art gone up: he stooped down, he couched as a lion, and as an old lion; who shall rouse him up?
Genesis 49:19	Gad, a troop shall overcome him: but he shall overcome at the last.
Genesis 49:29	And he charged them, and said unto them, I am to be gathered unto my people: bury me with my fathers in the cave that is in the field of Ephron the Hittite,
Genesis 50:6	And Pharaoh said, Go up, and bury thy father, according as he made thee swear.
Genesis 50:16	And they sent a messenger unto Joseph, saying, Thy father did command before he died, saying,
Genesis 50:26	So Joseph died, being an hundred and ten years old: and they embalmed him, and he was put in a coffin in Egypt.
Exodus 1:10	Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.
Exodus 1:20	Therefore God dealt well with the midwives: and the people multiplied, and waxed very mighty.
Exodus 2:8	And Pharaoh's daughter said to her, Go. And the maid went and called the child's mother.
Exodus 2:18	And when they came to Reuel their father, he said, How is it that ye are come so soon to day?
Exodus 3:3	And Moses said, I will now turn aside, and see this great sight, why the bush is not burnt.
Exodus 3:13	And Moses said unto God, Behold, when I come unto the children of Israel, and shall say unto them, The God of your fathers hath sent me unto you; and they shall say to me, What is his name? what shall I say unto them?
Exodus 4:1	And Moses answered and said, But, behold, they will not believe me, nor hearken unto my voice: for they will say, The LORD hath not appeared unto thee.
Exodus 4:11	And the LORD said unto him, Who hath made man's mouth? or who maketh the dumb, or deaf, or the seeing, or the blind? have not I the LORD?
Exodus 4:21	And the LORD said unto Moses, When thou goest to return into Egypt, see that thou do all those wonders before Pharaoh, which I have put in thine hand: but I will harden his heart, that he shall not let the people go.
Exodus 4:31	And the people believed: and when they heard that the LORD had visited the children of Israel, and that he had looked upon their affliction, then they bowed their heads and worshipped.
Exodus 5:10	And the taskmasters of the people went out, and their officers, and they spake to the people, saying, Thus saith Pharaoh, I will not give you straw.
Exodus 5:20	And they met Moses and Aaron, who stood in the way, as they came forth from Pharaoh:
Exodus 6:7	And I will take you to me for a people, and I will be to you a God: and ye shall know that I am the LORD your God, which bringeth you out from under the burdens of the Egyptians.
Exodus 6:17	The sons of Gershon; Libni, and Shimi, according to their families.
Exodus 6:27	These are they which spake to Pharaoh king of Egypt, to bring out the children of Israel from Egypt: these are that Moses and Aaron.
Exodus 7:7	And Moses was fourscore years old, and Aaron fourscore and three years old, when they spake unto Pharaoh.
Exodus 7:17	Thus saith the LORD, In this thou shalt know that I am the LORD: behold, I will smite with the rod that is in mine hand upon the waters which are in the river, and they shall be turned to blood.
Exodus 8:2	And if thou refuse to let them go, behold, I will smite all thy borders with frogs:
Exodus 8:12	And Moses and Aaron went out from Pharaoh: and Moses cried unto the LORD because of the frogs which he had brought against Pharaoh.
Exodus 8:22	And I will sever in that day the land of Goshen, in which my people dwell, that no swarms of flies shall be there; to the end thou mayest know that I am the LORD in the midst of the earth.
Exodus 8:32	And Pharaoh hardened his heart at this time also, neither would he let the people go.
Exodus 9:10	And they took ashes of the furnace, and stood before Pharaoh; and Moses sprinkled it up toward heaven; and it became a boil breaking forth with blains upon man, and upon beast.
Exodus 9:20	He that feared the word of the LORD among the servants of Pharaoh made his servants and his cattle flee into the houses:
Exodus 9:30	But as for thee and thy servants, I know that ye will not yet fear the LORD God.
Exodus 10:5	And they shall cover the face of the earth, that one cannot be able to see the earth: and they shall eat the residue of that which is escaped, which remaineth unto you from the hail, and shall eat every tree which groweth for you out of the field:
Exodus 10:15	For they covered the face of the whole earth, so that the land was darkened; and they did eat every herb of the land, and all the fruit of the trees which the hail had left: and there remained not any green thing in the trees, or in the herbs of the field, through all the land of Egypt.
Exodus 10:25	And Moses said, Thou must give us also sacrifices and burnt offerings, that we may sacrifice unto the LORD our God.
Exodus 11:6	And there shall be a great cry throughout all the land of Egypt, such as there was none like it, nor shall be like it any more.
Exodus 12:6	And ye shall keep it up until the fourteenth day of the same month: and the whole assembly of the congregation of Israel shall kill it in the evening.
Exodus 12:16	And in the first day there shall be an holy convocation, and in the seventh day there shall be an holy convocation to you; no manner of work shall be done in them, save that which every man must eat, that only may be done of you.
Exodus 12:26	And it shall come to pass, when your children shall say unto you, What mean ye by this service?
Exodus 12:36	And the LORD gave the people favor in the sight of the Egyptians, so that they lent unto them such things as they required. And they spoiled the Egyptians.
Exodus 12:46	In one house shall it be eaten; thou shalt not carry forth ought of the flesh abroad out of the house; neither shall ye break a bone thereof.
Exodus 13:5	And it shall be when the LORD shall bring thee into the land of the Canaanites, and the Hittites, and the Amorites, and the Hivites, and the Jebusites, which he sware unto thy fathers to give thee, a land flowing with milk and honey, that thou shalt keep this service in this month.
Exodus 13:15	And it came to pass, when Pharaoh would hardly let us go, that the LORD slew all the firstborn in the land of Egypt, both the firstborn of man, and the firstborn of beast: therefore I sacrifice to the LORD all that openeth the matrix, being males; but all the firstborn of my children I redeem.
Exodus 14:3	For Pharaoh will say of the children of Israel, They are entangled in the land, the wilderness hath shut them in.
Exodus 14:13	And Moses said unto the people, Fear ye not, stand still, and see the salvation of the LORD, which he will show to you to day: for the Egyptians whom ye have seen to day, ye shall see them again no more for ever.
Exodus 14:23	And the Egyptians pursued, and went in after them to the midst of the sea, even all Pharaoh's horses, his chariots, and his horsemen.
Exodus 15:2	The LORD is my strength and song, and he is become my salvation: he is my God, and I will prepare him an habitation; my father's God, and I will exalt him.
Exodus 15:12	Thou stretchedst out thy right hand, the earth swallowed them.
Exodus 15:22	So Moses brought Israel from the Red sea, and they went out into the wilderness of Shur; and they went three days in the wilderness, and found no water.
Exodus 16:5	And it shall come to pass, that on the sixth day they shall prepare that which they bring in; and it shall be twice as much as they gather daily.
Exodus 16:15	And when the children of Israel saw it, they said one to another, It is manna: for they wist not what it was. And Moses said unto them, This is the bread which the LORD hath given you to eat.
Exodus 16:25	And Moses said, Eat that to day; for to day is a sabbath unto the LORD: to day ye shall not find it in the field.
Exodus 16:35	And the children of Israel did eat manna forty years, until they came to a land inhabited; they did eat manna, until they came unto the borders of the land of Canaan.
Exodus 17:9	And Moses said unto Joshua, Choose us out men, and go out, fight with Amalek: to morrow I will stand on the top of the hill with the rod of God in mine hand.
Exodus 18:3	And her two sons; of which the name of the one was Gershom; for he said, I have been an alien in a strange land:
Exodus 18:13	And it came to pass on the morrow, that Moses sat to judge the people: and the people stood by Moses from the morning unto the evening.
Exodus 18:23	If thou shalt do this thing, and God command thee so, then thou shalt be able to endure, and all this people shall also go to their place in peace.
Exodus 19:6	And ye shall be unto me a kingdom of priests, and an holy nation. These are the words which thou shalt speak unto the children of Israel.
Exodus 19:16	And it came to pass on the third day in the morning, that there were thunders and lightnings, and a thick cloud upon the mount, and the voice of the trumpet exceeding loud; so that all the people that was in the camp trembled.
Exodus 20:1	And God spake all these words, saying,
Exodus 20:11	For in six days the LORD made heaven and earth, the sea, and all that in them is, and rested the seventh day: wherefore the LORD blessed the sabbath day, and hallowed it.
Exodus 20:21	And the people stood afar off, and Moses drew near unto the thick darkness where God was.
Exodus 21:5	And if the servant shall plainly say, I love my master, my wife, and my children; I will not go out free:
Exodus 21:15	And he that smiteth his father, or his mother, shall be surely put to death.
Exodus 21:25	Burning for burning, wound for wound, stripe for stripe.
Exodus 21:35	And if one man's ox hurt another's, that he die; then they shall sell the live ox, and divide the money of it; and the dead ox also they shall divide.
Exodus 22:9	For all manner of trespass, whether it be for ox, for ass, for sheep, for raiment, or for any manner of lost thing which another challengeth to be his, the cause of both parties shall come before the judges; and whom the judges shall condemn, he shall pay double unto his neighbor.
Exodus 22:19	Whosoever lieth with a beast shall surely be put to death.
Exodus 22:29	Thou shalt not delay to offer the first of thy ripe fruits, and of thy liquors: the firstborn of thy sons shalt thou give unto me.
Exodus 23:8	And thou shalt take no gift: for the gift blindeth the wise, and perverteth the words of the righteous.
Exodus 23:18	Thou shalt not offer the blood of my sacrifice with leavened bread; neither shall the fat of my sacrifice remain until the morning.
Exodus 23:28	And I will send hornets before thee, which shall drive out the Hivite, the Canaanite, and the Hittite, from before thee.
Exodus 24:5	And he sent young men of the children of Israel, which offered burnt offerings, and sacrificed peace offerings of oxen unto the LORD.
Exodus 24:15	And Moses went up into the mount, and a cloud covered the mount.
Exodus 25:7	Onyx stones, and stones to be set in the ephod, and in the breastplate.
Exodus 25:17	And thou shalt make a mercy seat of pure gold: two cubits and a half shall be the length thereof, and a cubit and a half the breadth thereof.
Exodus 25:27	Over against the border shall the rings be for places of the staves to bear the table.
Exodus 25:37	And thou shalt make the seven lamps thereof: and they shall light the lamps thereof, that they may give light over against it.
Exodus 26:7	And thou shalt make curtains of goats' hair to be a covering upon the tabernacle: eleven curtains shalt thou make.
Exodus 26:17	Two tenons shall there be in one board, set in order one against another: thus shalt thou make for all the boards of the tabernacle.
Exodus 26:27	And five bars for the boards of the other side of the tabernacle, and five bars for the boards of the side of the tabernacle, for the two sides westward.
Exodus 26:37	And thou shalt make for the hanging five pillars of shittim wood, and overlay them with gold, and their hooks shall be of gold: and thou shalt cast five sockets of brass for them.
Exodus 27:10	And the twenty pillars thereof and their twenty sockets shall be of brass; the hooks of the pillars and their fillets shall be of silver.
Exodus 27:20	And thou shalt command the children of Israel, that they bring thee pure oil olive beaten for the light, to cause the lamp to burn always.
Exodus 28:9	And thou shalt take two onyx stones, and grave on them the names of the children of Israel:
Exodus 28:19	And the third row a ligure, an agate, and an amethyst.
Exodus 28:29	And Aaron shall bear the names of the children of Israel in the breastplate of judgment upon his heart, when he goeth in unto the holy place, for a memorial before the LORD continually.
Exodus 28:39	And thou shalt embroider the coat of fine linen, and thou shalt make the mitre of fine linen, and thou shalt make the girdle of needlework.
Exodus 29:6	And thou shalt put the mitre upon his head, and put the holy crown upon the mitre.
Exodus 29:16	And thou shalt slay the ram, and thou shalt take his blood, and sprinkle it round about upon the altar.
Exodus 29:26	And thou shalt take the breast of the ram of Aaron's consecration, and wave it for a wave offering before the LORD: and it shall be thy part.
Exodus 29:36	And thou shalt offer every day a bullock for a sin offering for atonement: and thou shalt cleanse the altar, when thou hast made an atonement for it, and thou shalt anoint it, to sanctify it.
Exodus 29:46	And they shall know that I am the LORD their God, that brought them forth out of the land of Egypt, that I may dwell among them: I am the LORD their God.
Exodus 30:10	And Aaron shall make an atonement upon the horns of it once in a year with the blood of the sin offering of atonements: once in the year shall he make atonement upon it throughout your generations: it is most holy unto the LORD.
Exodus 30:20	When they go into the tabernacle of the congregation, they shall wash with water, that they die not; or when they come near to the altar to minister, to burn offering made by fire unto the LORD:
Exodus 30:30	And thou shalt anoint Aaron and his sons, and consecrate them, that they may minister unto me in the priest's office.
Exodus 31:2	See, I have called by name Bezaleel the son of Uri, the son of Hur, of the tribe of Judah:
Exodus 31:12	And the LORD spake unto Moses, saying,
Exodus 32:4	And he received them at their hand, and fashioned it with a graving tool, after he had made it a molten calf: and they said, These be thy gods, O Israel, which brought thee up out of the land of Egypt.
Exodus 32:14	And the LORD repented of the evil which he thought to do unto his people.
Exodus 32:24	And I said unto them, Whosoever hath any gold, let them break it off. So they gave it me: then I cast it into the fire, and there came out this calf.
Exodus 32:34	Therefore now go, lead the people unto the place of which I have spoken unto thee: behold, mine Angel shall go before thee: nevertheless in the day when I visit I will visit their sin upon them.
Exodus 33:9	And it came to pass, as Moses entered into the tabernacle, the cloudy pillar descended, and stood at the door of the tabernacle, and the Lord talked with Moses.
Exodus 33:19	And he said, I will make all my goodness pass before thee, and I will proclaim the name of the LORD before thee; and will be gracious to whom I will be gracious, and will show mercy on whom I will show mercy.
Exodus 34:6	And the LORD passed by before him, and proclaimed, The LORD, The LORD God, merciful and gracious, long-suffering, and abundant in goodness and truth,
Exodus 34:16	And thou take of their daughters unto thy sons, and their daughters go a whoring after their gods, and make thy sons go a whoring after their gods.
Exodus 34:26	The first of the firstfruits of thy land thou shalt bring unto the house of the LORD thy God. Thou shalt not seethe a kid in his mother's milk.
Exodus 35:1	And Moses gathered all the congregation of the children of Israel together, and said unto them, These are the words which the LORD hath commanded, that ye should do them.
Exodus 35:11	The tabernacle, his tent, and his covering, his taches, and his boards, his bars, his pillars, and his sockets,
Exodus 35:21	And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and they brought the LORD's offering to the work of the tabernacle of the congregation, and for all his service, and for the holy garments.
Exodus 35:31	And he hath filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship;
Exodus 36:6	And Moses gave commandment, and they caused it to be proclaimed throughout the camp, saying, Let neither man nor woman make any more work for the offering of the sanctuary. So the people were restrained from bringing.
